from	to	r	t	p.value	FDR	significant	group
evm.TU.10.1356	evm.TU.05.332	0.9872227646377019	12.39091656982344	1.2192181197430572e-4	0.004006307961892538	TRUE	0
evm.TU.10.1450	evm.TU.05.332	0.9941247116610309	18.368771632816213	2.5838557510784807e-5	0.0015611489747645144	TRUE	0
evm.TU.10.1458	evm.TU.05.332	0.9940047453933184	18.182414075353474	2.6903436373514427e-5	0.0015746917602372664	TRUE	0
evm.TU.10.176	evm.TU.05.332	0.9935930356535051	17.58304659141428	3.0721143925323915e-5	0.0016923736050626968	TRUE	0
evm.TU.10.188	evm.TU.05.332	0.9991816292348247	49.40526769313723	5.021610099619525e-7	1.881095143317474e-4	TRUE	0
evm.TU.10.1893	evm.TU.05.332	0.9951092776055245	20.14795261210272	1.791012865522777e-5	0.0011980596775443433	TRUE	0
evm.TU.10.1968	evm.TU.05.332	0.993902533100781	18.027981547914337	2.782765235346151e-5	0.001579430086607073	TRUE	0
evm.TU.10.1969	evm.TU.05.332	0.9934812392555344	17.430147762439436	3.180142878411573e-5	0.001701830746075679	TRUE	0
evm.TU.10.2009	evm.TU.05.332	0.9906541688935087	14.52597171211189	6.530434242900827e-5	0.0027181118526562772	TRUE	0
evm.TU.ctgX8.11	evm.TU.05.332	0.994164156385289	18.43129376128779	2.5493115086884072e-5	0.0015611489747645144	TRUE	0
novel_gene_1189_5bd9a17a	evm.TU.05.332	0.9977789037195819	29.957592516374465	3.6972121989826822e-6	5.44707262479056e-4	TRUE	0
novel_gene_1532_5bd9a17a	evm.TU.05.332	0.9990033848459569	44.763748532256024	7.446838540025989e-7	2.3246547642447797e-4	TRUE	0
novel_gene_1649_5bd9a17a	evm.TU.05.332	0.9966489066065833	24.368459326352887	8.412962148840943e-6	8.754422944765109e-4	TRUE	0
novel_gene_1722_5bd9a17a	evm.TU.05.332	0.9880447211707947	12.817805236448308	1.0676933082199205e-4	0.0037731878609356816	TRUE	0
novel_gene_19_5bda875f	evm.TU.05.332	0.9869486351410098	12.257538356484899	1.2719780725820587e-4	0.004012192522517532	TRUE	0
novel_gene_2028_5bd9a17a	evm.TU.05.332	0.9899597586595329	14.00726398659665	7.535180436905103e-5	0.003055273485367682	TRUE	0
novel_gene_276_5bda875f	evm.TU.05.332	0.9964319446425486	23.612098746296912	9.536908030210828e-6	8.754422944765109e-4	TRUE	0
novel_gene_2841_5bd9a17a	evm.TU.05.332	0.9944627031429251	18.925903977456578	2.2953796689009518e-5	0.0014824986620177527	TRUE	0
novel_gene_3383_5bd9a17a	evm.TU.05.332	0.9918980071771315	15.61591864502561	4.909875744040049e-5	0.002299049317146753	TRUE	0
novel_gene_3388_5bd9a17a	evm.TU.05.332	0.9963209141761736	23.25113216226495	1.0139304649108309e-5	8.754422944765109e-4	TRUE	0
novel_gene_339_5bd9a17a	evm.TU.05.332	0.9984348295610765	35.704578026895184	1.8363603047621421e-6	3.9584101409480374e-4	TRUE	0
novel_gene_3432_5bd9a17a	evm.TU.05.332	0.9912350336817448	15.006183426351377	5.7450134586527795e-5	0.00256200243048968	TRUE	0
novel_gene_376_5bd9a17a	evm.TU.05.332	0.996497181432113	23.832132129634044	9.191558773198627e-6	8.754422944765109e-4	TRUE	0
novel_gene_3844_5bd9a17a	evm.TU.05.332	0.9981590998317023	32.91543619829885	2.540125409403231e-6	4.325140810738411e-4	TRUE	0
novel_gene_3929_5bd9a17a	evm.TU.05.332	0.9931632818322838	17.01591756730924	3.497564820421213e-5	0.001819705252402481	TRUE	0
novel_gene_507_5bda875f	evm.TU.05.332	0.9877774500576496	12.674309643858049	1.1158656141423135e-4	0.003800029627797369	TRUE	0
novel_gene_622_5bd9a17a	evm.TU.05.332	0.9996207664844375	72.60024565403205	1.0784990933733029e-7	1.0100144009440981e-4	TRUE	0
evm.TU.05.482	evm.TU.05.339	0.9981197236350756	32.56799603103311	2.649917505674086e-6	3.307097047081259e-4	TRUE	0
